Month,Year,Quarter,Category,Manufacturer,State,FuelType,Registrations
2016-Q1,2016,Q1,2W,TVS,Haryana,Petrol,757
2016-Q1,2016,Q1,2W,TVS,Karnataka,Electric,12
2016-Q1,2016,Q1,2W,TVS,Karnataka,Petrol,1201
2016-Q1,2016,Q1,2W,TVS,Kerala,Electric,7
2016-Q1,2016,Q1,2W,TVS,Kerala,Petrol,674
2016-Q1,2016,Q1,2W,TVS,Maharashtra,Electric,14
2016-Q1,2016,Q1,2W,TVS,Maharashtra,Petrol,1577
2016-Q1,2016,Q1,2W,TVS,Rajasthan,Electric,6
2016-Q1,2016,Q1,2W,TVS,Rajasthan,Petrol,882
2016-Q1,2016,Q1,2W,TVS,Tamil Nadu,Electric,23
2016-Q1,2016,Q1,2W,TVS,Tamil Nadu,Petrol,1351
2016-Q1,2016,Q1,2W,TVS,Uttar Pradesh,Electric,7
2016-Q1,2016,Q1,2W,TVS,Uttar Pradesh,Petrol,1134
2016-Q1,2016,Q1,2W,TVS,West Bengal,Electric,16
2016-Q1,2016,Q1,2W,TVS,West Bengal,Petrol,1056
2016-Q1,2016,Q1,2W,Yamaha,Delhi,Electric,12
2016-Q1,2016,Q1,2W,Yamaha,Delhi,Petrol,760
2016-Q1,2016,Q1,2W,Yamaha,Gujarat,Electric,13
2016-Q1,2016,Q1,2W,Yamaha,Gujarat,Petrol,1364
2016-Q1,2016,Q1,2W,Yamaha,Haryana,Electric,9
2016-Q1,2016,Q1,2W,Yamaha,Haryana,Petrol,1050
2016-Q1,2016,Q1,2W,Yamaha,Karnataka,Electric,10
2016-Q1,2016,Q1,2W,Yamaha,Karnataka,Petrol,1455
2016-Q1,2016,Q1,2W,Yamaha,Kerala,Electric,4
2016-Q1,2016,Q1,2W,Yamaha,Kerala,Petrol,742
2016-Q1,2016,Q1,2W,Yamaha,Maharashtra,Electric,24
2016-Q1,2016,Q1,2W,Yamaha,Maharashtra,Petrol,2264
2016-Q1,2016,Q1,2W,Yamaha,Rajasthan,Electric,13
2016-Q1,2016,Q1,2W,Yamaha,Rajasthan,Petrol,1053
2016-Q1,2016,Q1,2W,Yamaha,Tamil Nadu,Electric,19
2016-Q1,2016,Q1,2W,Yamaha,Tamil Nadu,Petrol,1653
2016-Q1,2016,Q1,2W,Yamaha,Uttar Pradesh,Electric,12
2016-Q1,2016,Q1,2W,Yamaha,Uttar Pradesh,Petrol,1367
2016-Q1,2016,Q1,2W,Yamaha,West Bengal,Electric,18
2016-Q1,2016,Q1,2W,Yamaha,West Bengal,Petrol,1470
2016-Q1,2016,Q1,3W,Bajaj,Delhi,Diesel,323
2016-Q1,2016,Q1,3W,Bajaj,Delhi,Electric,3
2016-Q1,2016,Q1,3W,Bajaj,Delhi,Petrol,217
2016-Q1,2016,Q1,3W,Bajaj,Gujarat,Diesel,503
2016-Q1,2016,Q1,3W,Bajaj,Gujarat,Electric,2
2016-Q1,2016,Q1,3W,Bajaj,Gujarat,Petrol,332
2016-Q1,2016,Q1,3W,Bajaj,Haryana,Diesel,457
2016-Q1,2016,Q1,3W,Bajaj,Haryana,Electric,1
2016-Q1,2016,Q1,3W,Bajaj,Haryana,Petrol,277
2016-Q1,2016,Q1,3W,Bajaj,Karnataka,Diesel,584
2016-Q1,2016,Q1,3W,Bajaj,Karnataka,Electric,6
2016-Q1,2016,Q1,3W,Bajaj,Karnataka,Petrol,357
2016-Q1,2016,Q1,3W,Bajaj,Kerala,Diesel,252
2016-Q1,2016,Q1,3W,Bajaj,Kerala,Petrol,163
2016-Q1,2016,Q1,3W,Bajaj,Maharashtra,Diesel,650
2016-Q1,2016,Q1,3W,Bajaj,Maharashtra,Electric,3
2016-Q1,2016,Q1,3W,Bajaj,Maharashtra,Petrol,448
2016-Q1,2016,Q1,3W,Bajaj,Rajasthan,Diesel,319
2016-Q1,2016,Q1,3W,Bajaj,Rajasthan,Electric,2
2016-Q1,2016,Q1,3W,Bajaj,Rajasthan,Petrol,248
2016-Q1,2016,Q1,3W,Bajaj,Tamil Nadu,Diesel,589
2016-Q1,2016,Q1,3W,Bajaj,Tamil Nadu,Electric,6
2016-Q1,2016,Q1,3W,Bajaj,Tamil Nadu,Petrol,384
2016-Q1,2016,Q1,3W,Bajaj,Uttar Pradesh,Diesel,580
2016-Q1,2016,Q1,3W,Bajaj,Uttar Pradesh,Electric,7
2016-Q1,2016,Q1,3W,Bajaj,Uttar Pradesh,Petrol,352
2016-Q1,2016,Q1,3W,Bajaj,West Bengal,Diesel,441
2016-Q1,2016,Q1,3W,Bajaj,West Bengal,Electric,3
2016-Q1,2016,Q1,3W,Bajaj,West Bengal,Petrol,274
2016-Q1,2016,Q1,3W,Mahindra,Delhi,Diesel,249
2016-Q1,2016,Q1,3W,Mahindra,Delhi,Electric,1
2016-Q1,2016,Q1,3W,Mahindra,Delhi,Petrol,157
2016-Q1,2016,Q1,3W,Mahindra,Gujarat,Diesel,336
2016-Q1,2016,Q1,3W,Mahindra,Gujarat,Electric,2
2016-Q1,2016,Q1,3W,Mahindra,Gujarat,Petrol,208
2016-Q1,2016,Q1,3W,Mahindra,Haryana,Diesel,283
2016-Q1,2016,Q1,3W,Mahindra,Haryana,Electric,2
2016-Q1,2016,Q1,3W,Mahindra,Haryana,Petrol,165
2016-Q1,2016,Q1,3W,Mahindra,Karnataka,Diesel,347
2016-Q1,2016,Q1,3W,Mahindra,Karnataka,Electric,3
2016-Q1,2016,Q1,3W,Mahindra,Karnataka,Petrol,240
2016-Q1,2016,Q1,3W,Mahindra,Kerala,Diesel,196
2016-Q1,2016,Q1,3W,Mahindra,Kerala,Electric,1
2016-Q1,2016,Q1,3W,Mahindra,Kerala,Petrol,132
2016-Q1,2016,Q1,3W,Mahindra,Maharashtra,Diesel,599
2016-Q1,2016,Q1,3W,Mahindra,Maharashtra,Electric,7
2016-Q1,2016,Q1,3W,Mahindra,Maharashtra,Petrol,406
2016-Q1,2016,Q1,3W,Mahindra,Rajasthan,Diesel,292
2016-Q1,2016,Q1,3W,Mahindra,Rajasthan,Electric,2
2016-Q1,2016,Q1,3W,Mahindra,Rajasthan,Petrol,224
2016-Q1,2016,Q1,3W,Mahindra,Tamil Nadu,Diesel,363
2016-Q1,2016,Q1,3W,Mahindra,Tamil Nadu,Electric,1
2016-Q1,2016,Q1,3W,Mahindra,Tamil Nadu,Petrol,269
2016-Q1,2016,Q1,3W,Mahindra,Uttar Pradesh,Diesel,307
2016-Q1,2016,Q1,3W,Mahindra,Uttar Pradesh,Electric,1
2016-Q1,2016,Q1,3W,Mahindra,Uttar Pradesh,Petrol,198
2016-Q1,2016,Q1,3W,Mahindra,West Bengal,Diesel,350
2016-Q1,2016,Q1,3W,Mahindra,West Bengal,Electric,1
2016-Q1,2016,Q1,3W,Mahindra,West Bengal,Petrol,240
2016-Q1,2016,Q1,3W,Piaggio,Delhi,Diesel,102
2016-Q1,2016,Q1,3W,Piaggio,Delhi,Petrol,77
2016-Q1,2016,Q1,3W,Piaggio,Gujarat,Diesel,156
2016-Q1,2016,Q1,3W,Piaggio,Gujarat,Electric,4
2016-Q1,2016,Q1,3W,Piaggio,Gujarat,Petrol,97
2016-Q1,2016,Q1,3W,Piaggio,Haryana,Diesel,122
2016-Q1,2016,Q1,3W,Piaggio,Haryana,Electric,1
2016-Q1,2016,Q1,3W,Piaggio,Haryana,Petrol,79
2016-Q1,2016,Q1,3W,Piaggio,Karnataka,Diesel,219
2016-Q1,2016,Q1,3W,Piaggio,Karnataka,Petrol,136
2016-Q1,2016,Q1,3W,Piaggio,Kerala,Diesel,95
2016-Q1,2016,Q1,3W,Piaggio,Kerala,Petrol,76
2016-Q1,2016,Q1,3W,Piaggio,Maharashtra,Diesel,342
2016-Q1,2016,Q1,3W,Piaggio,Maharashtra,Electric,4
2016-Q1,2016,Q1,3W,Piaggio,Maharashtra,Petrol,194
2016-Q1,2016,Q1,3W,Piaggio,Rajasthan,Diesel,126
2016-Q1,2016,Q1,3W,Piaggio,Rajasthan,Electric,2
2016-Q1,2016,Q1,3W,Piaggio,Rajasthan,Petrol,95
2016-Q1,2016,Q1,3W,Piaggio,Tamil Nadu,Diesel,187
2016-Q1,2016,Q1,3W,Piaggio,Tamil Nadu,Electric,1
2016-Q1,2016,Q1,3W,Piaggio,Tamil Nadu,Petrol,128
2016-Q1,2016,Q1,3W,Piaggio,Uttar Pradesh,Diesel,209
2016-Q1,2016,Q1,3W,Piaggio,Uttar Pradesh,Electric,1
2016-Q1,2016,Q1,3W,Piaggio,Uttar Pradesh,Petrol,148
2016-Q1,2016,Q1,3W,Piaggio,West Bengal,Diesel,207
2016-Q1,2016,Q1,3W,Piaggio,West Bengal,Electric,2
2016-Q1,2016,Q1,3W,Piaggio,West Bengal,Petrol,135
2016-Q1,2016,Q1,4W,Hyundai,Delhi,Diesel,67
2016-Q1,2016,Q1,4W,Hyundai,Delhi,Electric,3
2016-Q1,2016,Q1,4W,Hyundai,Delhi,Petrol,413
2016-Q1,2016,Q1,4W,Hyundai,Gujarat,Diesel,98
2016-Q1,2016,Q1,4W,Hyundai,Gujarat,Electric,4
2016-Q1,2016,Q1,4W,Hyundai,Gujarat,Petrol,601
2016-Q1,2016,Q1,4W,Hyundai,Haryana,Diesel,78
2016-Q1,2016,Q1,4W,Hyundai,Haryana,Electric,3
2016-Q1,2016,Q1,4W,Hyundai,Haryana,Petrol,614
2016-Q1,2016,Q1,4W,Hyundai,Karnataka,Diesel,118
2016-Q1,2016,Q1,4W,Hyundai,Karnataka,Electric,14
2016-Q1,2016,Q1,4W,Hyundai,Karnataka,Petrol,856
2016-Q1,2016,Q1,4W,Hyundai,Kerala,Diesel,45
2016-Q1,2016,Q1,4W,Hyundai,Kerala,Electric,3
2016-Q1,2016,Q1,4W,Hyundai,Kerala,Petrol,336
2016-Q1,2016,Q1,4W,Hyundai,Maharashtra,Diesel,144
2016-Q1,2016,Q1,4W,Hyundai,Maharashtra,Electric,12
2016-Q1,2016,Q1,4W,Hyundai,Maharashtra,Petrol,1028
2016-Q1,2016,Q1,4W,Hyundai,Rajasthan,Diesel,80
2016-Q1,2016,Q1,4W,Hyundai,Rajasthan,Electric,5
2016-Q1,2016,Q1,4W,Hyundai,Rajasthan,Petrol,551
2016-Q1,2016,Q1,4W,Hyundai,Tamil Nadu,Diesel,102
2016-Q1,2016,Q1,4W,Hyundai,Tamil Nadu,Electric,8
2016-Q1,2016,Q1,4W,Hyundai,Tamil Nadu,Petrol,753
2016-Q1,2016,Q1,4W,Hyundai,Uttar Pradesh,Diesel,88
2016-Q1,2016,Q1,4W,Hyundai,Uttar Pradesh,Electric,8
2016-Q1,2016,Q1,4W,Hyundai,Uttar Pradesh,Petrol,695
2016-Q1,2016,Q1,4W,Hyundai,West Bengal,Diesel,92
2016-Q1,2016,Q1,4W,Hyundai,West Bengal,Electric,4
2016-Q1,2016,Q1,4W,Hyundai,West Bengal,Petrol,628
2016-Q1,2016,Q1,4W,Mahindra,Delhi,Diesel,126
2016-Q1,2016,Q1,4W,Mahindra,Delhi,Electric,7
2016-Q1,2016,Q1,4W,Mahindra,Delhi,Petrol,352
2016-Q1,2016,Q1,4W,Mahindra,Gujarat,Diesel,141
2016-Q1,2016,Q1,4W,Mahindra,Gujarat,Electric,6
2016-Q1,2016,Q1,4W,Mahindra,Gujarat,Petrol,465
2016-Q1,2016,Q1,4W,Mahindra,Haryana,Diesel,113
2016-Q1,2016,Q1,4W,Mahindra,Haryana,Electric,2
2016-Q1,2016,Q1,4W,Mahindra,Haryana,Petrol,364
2016-Q1,2016,Q1,4W,Mahindra,Karnataka,Diesel,159
2016-Q1,2016,Q1,4W,Mahindra,Karnataka,Electric,8
2016-Q1,2016,Q1,4W,Mahindra,Karnataka,Petrol,448
2016-Q1,2016,Q1,4W,Mahindra,Kerala,Diesel,96
2016-Q1,2016,Q1,4W,Mahindra,Kerala,Electric,7
2016-Q1,2016,Q1,4W,Mahindra,Kerala,Petrol,286
2016-Q1,2016,Q1,4W,Mahindra,Maharashtra,Diesel,276
2016-Q1,2016,Q1,4W,Mahindra,Maharashtra,Electric,12
2016-Q1,2016,Q1,4W,Mahindra,Maharashtra,Petrol,743
2016-Q1,2016,Q1,4W,Mahindra,Rajasthan,Diesel,109
2016-Q1,2016,Q1,4W,Mahindra,Rajasthan,Electric,3
2016-Q1,2016,Q1,4W,Mahindra,Rajasthan,Petrol,376
2016-Q1,2016,Q1,4W,Mahindra,Tamil Nadu,Diesel,169
2016-Q1,2016,Q1,4W,Mahindra,Tamil Nadu,Electric,6
2016-Q1,2016,Q1,4W,Mahindra,Tamil Nadu,Petrol,501
2016-Q1,2016,Q1,4W,Mahindra,Uttar Pradesh,Diesel,170
2016-Q1,2016,Q1,4W,Mahindra,Uttar Pradesh,Electric,9
2016-Q1,2016,Q1,4W,Mahindra,Uttar Pradesh,Petrol,535
2016-Q1,2016,Q1,4W,Mahindra,West Bengal,Diesel,132
2016-Q1,2016,Q1,4W,Mahindra,West Bengal,Electric,1
2016-Q1,2016,Q1,4W,Mahindra,West Bengal,Petrol,403
2016-Q1,2016,Q1,4W,Maruti,Delhi,Diesel,140
2016-Q1,2016,Q1,4W,Maruti,Delhi,Electric,14
2016-Q1,2016,Q1,4W,Maruti,Delhi,Petrol,1019
2016-Q1,2016,Q1,4W,Maruti,Gujarat,Diesel,174
2016-Q1,2016,Q1,4W,Maruti,Gujarat,Electric,10
2016-Q1,2016,Q1,4W,Maruti,Gujarat,Petrol,1326
2016-Q1,2016,Q1,4W,Maruti,Haryana,Diesel,118
2016-Q1,2016,Q1,4W,Maruti,Haryana,Electric,13
2016-Q1,2016,Q1,4W,Maruti,Haryana,Petrol,1023
2016-Q1,2016,Q1,4W,Maruti,Karnataka,Diesel,213
2016-Q1,2016,Q1,4W,Maruti,Karnataka,Electric,22
2016-Q1,2016,Q1,4W,Maruti,Karnataka,Petrol,1614
2016-Q1,2016,Q1,4W,Maruti,Kerala,Diesel,123
2016-Q1,2016,Q1,4W,Maruti,Kerala,Electric,11
2016-Q1,2016,Q1,4W,Maruti,Kerala,Petrol,881
2016-Q1,2016,Q1,4W,Maruti,Maharashtra,Diesel,276
2016-Q1,2016,Q1,4W,Maruti,Maharashtra,Electric,23
2016-Q1,2016,Q1,4W,Maruti,Maharashtra,Petrol,2091
2016-Q1,2016,Q1,4W,Maruti,Rajasthan,Diesel,159
2016-Q1,2016,Q1,4W,Maruti,Rajasthan,Electric,13
2016-Q1,2016,Q1,4W,Maruti,Rajasthan,Petrol,1059
2016-Q1,2016,Q1,4W,Maruti,Tamil Nadu,Diesel,257
2016-Q1,2016,Q1,4W,Maruti,Tamil Nadu,Electric,18
2016-Q1,2016,Q1,4W,Maruti,Tamil Nadu,Petrol,1886
2016-Q1,2016,Q1,4W,Maruti,Uttar Pradesh,Diesel,255
2016-Q1,2016,Q1,4W,Maruti,Uttar Pradesh,Electric,20
2016-Q1,2016,Q1,4W,Maruti,Uttar Pradesh,Petrol,1738
2016-Q1,2016,Q1,4W,Maruti,West Bengal,Diesel,198
2016-Q1,2016,Q1,4W,Maruti,West Bengal,Electric,15
2016-Q1,2016,Q1,4W,Maruti,West Bengal,Petrol,1436
2016-Q1,2016,Q1,4W,Tata,Delhi,Diesel,108
2016-Q1,2016,Q1,4W,Tata,Delhi,Electric,2
2016-Q1,2016,Q1,4W,Tata,Delhi,Petrol,387
2016-Q1,2016,Q1,4W,Tata,Gujarat,Diesel,155
2016-Q1,2016,Q1,4W,Tata,Gujarat,Electric,12
2016-Q1,2016,Q1,4W,Tata,Gujarat,Petrol,458
2016-Q1,2016,Q1,4W,Tata,Haryana,Diesel,137
2016-Q1,2016,Q1,4W,Tata,Haryana,Electric,5
2016-Q1,2016,Q1,4W,Tata,Haryana,Petrol,440
2016-Q1,2016,Q1,4W,Tata,Karnataka,Diesel,209
2016-Q1,2016,Q1,4W,Tata,Karnataka,Electric,11
2016-Q1,2016,Q1,4W,Tata,Karnataka,Petrol,586
2016-Q1,2016,Q1,4W,Tata,Kerala,Diesel,90
2016-Q1,2016,Q1,4W,Tata,Kerala,Electric,5
2016-Q1,2016,Q1,4W,Tata,Kerala,Petrol,283
2016-Q1,2016,Q1,4W,Tata,Maharashtra,Diesel,280
2016-Q1,2016,Q1,4W,Tata,Maharashtra,Electric,9
2016-Q1,2016,Q1,4W,Tata,Maharashtra,Petrol,845
2016-Q1,2016,Q1,4W,Tata,Rajasthan,Diesel,123
2016-Q1,2016,Q1,4W,Tata,Rajasthan,Electric,4
2016-Q1,2016,Q1,4W,Tata,Rajasthan,Petrol,322
2016-Q1,2016,Q1,4W,Tata,Tamil Nadu,Diesel,197
2016-Q1,2016,Q1,4W,Tata,Tamil Nadu,Electric,5
2016-Q1,2016,Q1,4W,Tata,Tamil Nadu,Petrol,623
2016-Q1,2016,Q1,4W,Tata,Uttar Pradesh,Diesel,191
2016-Q1,2016,Q1,4W,Tata,Uttar Pradesh,Electric,6
2016-Q1,2016,Q1,4W,Tata,Uttar Pradesh,Petrol,552
2016-Q1,2016,Q1,4W,Tata,West Bengal,Diesel,165
2016-Q1,2016,Q1,4W,Tata,West Bengal,Electric,8
2016-Q1,2016,Q1,4W,Tata,West Bengal,Petrol,518
2016-Q2,2016,Q2,2W,Bajaj,Delhi,Electric,6
2016-Q2,2016,Q2,2W,Bajaj,Delhi,Petrol,548
2016-Q2,2016,Q2,2W,Bajaj,Gujarat,Electric,7
2016-Q2,2016,Q2,2W,Bajaj,Gujarat,Petrol,725
2016-Q2,2016,Q2,2W,Bajaj,Haryana,Electric,8
2016-Q2,2016,Q2,2W,Bajaj,Haryana,Petrol,714
2016-Q2,2016,Q2,2W,Bajaj,Karnataka,Electric,9
2016-Q2,2016,Q2,2W,Bajaj,Karnataka,Petrol,992
2016-Q2,2016,Q2,2W,Bajaj,Kerala,Electric,5
2016-Q2,2016,Q2,2W,Bajaj,Kerala,Petrol,519
2016-Q2,2016,Q2,2W,Bajaj,Maharashtra,Electric,10
2016-Q2,2016,Q2,2W,Bajaj,Maharashtra,Petrol,1400
2016-Q2,2016,Q2,2W,Bajaj,Rajasthan,Electric,7
2016-Q2,2016,Q2,2W,Bajaj,Rajasthan,Petrol,670
2016-Q2,2016,Q2,2W,Bajaj,Tamil Nadu,Electric,11
2016-Q2,2016,Q2,2W,Bajaj,Tamil Nadu,Petrol,1044
2016-Q2,2016,Q2,2W,Bajaj,Uttar Pradesh,Electric,8
2016-Q2,2016,Q2,2W,Bajaj,Uttar Pradesh,Petrol,755
2016-Q2,2016,Q2,2W,Bajaj,West Bengal,Electric,5
2016-Q2,2016,Q2,2W,Bajaj,West Bengal,Petrol,771
2016-Q2,2016,Q2,2W,Hero,Delhi,Electric,27
2016-Q2,2016,Q2,2W,Hero,Delhi,Petrol,2015
2016-Q2,2016,Q2,2W,Hero,Gujarat,Electric,30
2016-Q2,2016,Q2,2W,Hero,Gujarat,Petrol,2933
2016-Q2,2016,Q2,2W,Hero,Haryana,Electric,16
2016-Q2,2016,Q2,2W,Hero,Haryana,Petrol,2068
2016-Q2,2016,Q2,2W,Hero,Karnataka,Electric,33
2016-Q2,2016,Q2,2W,Hero,Karnataka,Petrol,3268
2016-Q2,2016,Q2,2W,Hero,Kerala,Electric,18
2016-Q2,2016,Q2,2W,Hero,Kerala,Petrol,1325
2016-Q2,2016,Q2,2W,Hero,Maharashtra,Electric,55
2016-Q2,2016,Q2,2W,Hero,Maharashtra,Petrol,4828
2016-Q2,2016,Q2,2W,Hero,Rajasthan,Electric,21
2016-Q2,2016,Q2,2W,Hero,Rajasthan,Petrol,1898
2016-Q2,2016,Q2,2W,Hero,Tamil Nadu,Electric,38
2016-Q2,2016,Q2,2W,Hero,Tamil Nadu,Petrol,3052
2016-Q2,2016,Q2,2W,Hero,Uttar Pradesh,Electric,22
2016-Q2,2016,Q2,2W,Hero,Uttar Pradesh,Petrol,2377
2016-Q2,2016,Q2,2W,Hero,West Bengal,Electric,32
2016-Q2,2016,Q2,2W,Hero,West Bengal,Petrol,3028
2016-Q2,2016,Q2,2W,Honda,Delhi,Electric,18
2016-Q2,2016,Q2,2W,Honda,Delhi,Petrol,1579
2016-Q2,2016,Q2,2W,Honda,Gujarat,Electric,18
2016-Q2,2016,Q2,2W,Honda,Gujarat,Petrol,1919
2016-Q2,2016,Q2,2W,Honda,Haryana,Electric,11
2016-Q2,2016,Q2,2W,Honda,Haryana,Petrol,1705
2016-Q2,2016,Q2,2W,Honda,Karnataka,Electric,15
2016-Q2,2016,Q2,2W,Honda,Karnataka,Petrol,2230
2016-Q2,2016,Q2,2W,Honda,Kerala,Electric,10
2016-Q2,2016,Q2,2W,Honda,Kerala,Petrol,1045
2016-Q2,2016,Q2,2W,Honda,Maharashtra,Electric,28
2016-Q2,2016,Q2,2W,Honda,Maharashtra,Petrol,2975
2016-Q2,2016,Q2,2W,Honda,Rajasthan,Electric,12
2016-Q2,2016,Q2,2W,Honda,Rajasthan,Petrol,1601
2016-Q2,2016,Q2,2W,Honda,Tamil Nadu,Electric,20
2016-Q2,2016,Q2,2W,Honda,Tamil Nadu,Petrol,2387
2016-Q2,2016,Q2,2W,Honda,Uttar Pradesh,Electric,24
2016-Q2,2016,Q2,2W,Honda,Uttar Pradesh,Petrol,1874
2016-Q2,2016,Q2,2W,Honda,West Bengal,Electric,24
2016-Q2,2016,Q2,2W,Honda,West Bengal,Petrol,2259
2016-Q2,2016,Q2,2W,TVS,Delhi,Electric,3
2016-Q2,2016,Q2,2W,TVS,Delhi,Petrol,685
2016-Q2,2016,Q2,2W,TVS,Gujarat,Electric,7
2016-Q2,2016,Q2,2W,TVS,Gujarat,Petrol,1047
2016-Q2,2016,Q2,2W,TVS,Haryana,Electric,7
2016-Q2,2016,Q2,2W,TVS,Haryana,Petrol,886
2016-Q2,2016,Q2,2W,TVS,Karnataka,Electric,9
2016-Q2,2016,Q2,2W,TVS,Karnataka,Petrol,1460
2016-Q2,2016,Q2,2W,TVS,Kerala,Electric,6
2016-Q2,2016,Q2,2W,TVS,Kerala,Petrol,659
2016-Q2,2016,Q2,2W,TVS,Maharashtra,Electric,22
2016-Q2,2016,Q2,2W,TVS,Maharashtra,Petrol,1659
2016-Q2,2016,Q2,2W,TVS,Rajasthan,Electric,4
2016-Q2,2016,Q2,2W,TVS,Rajasthan,Petrol,777
2016-Q2,2016,Q2,2W,TVS,Tamil Nadu,Electric,19
2016-Q2,2016,Q2,2W,TVS,Tamil Nadu,Petrol,1516
2016-Q2,2016,Q2,2W,TVS,Uttar Pradesh,Electric,14
2016-Q2,2016,Q2,2W,TVS,Uttar Pradesh,Petrol,1395
2016-Q2,2016,Q2,2W,TVS,West Bengal,Electric,14
2016-Q2,2016,Q2,2W,TVS,West Bengal,Petrol,1133
2016-Q2,2016,Q2,2W,Yamaha,Delhi,Electric,10
2016-Q2,2016,Q2,2W,Yamaha,Delhi,Petrol,1063
2016-Q2,2016,Q2,2W,Yamaha,Gujarat,Electric,13
2016-Q2,2016,Q2,2W,Yamaha,Gujarat,Petrol,1535
2016-Q2,2016,Q2,2W,Yamaha,Haryana,Electric,10
2016-Q2,2016,Q2,2W,Yamaha,Haryana,Petrol,1253
